Company,Quarter,Revenue,COGS,Opex,AI_Costs,D_and_A,Interest_Expense,Tax,Scheduled_Principal
Lunar Consulting,Q4 2023,8.0,4.0,2.0,0.0,0.5,1.0,0.15,0.675
Lunar Consulting,Q1 2024,9.0,4.4,2.2,0.0,0.5,1.0,0.25,0.675
Lunar Consulting,Q2 2024,10.0,4.8,2.4,0.0,0.5,1.0,0.35,0.675
Lunar Consulting,Q3 2024,11.5,5.2,2.6,0.0,0.5,1.0,0.55,0.675
Lunar Consulting,Q4 2024,13.0,5.5,2.9,0.0,0.5,1.0,0.85,0.675
Lunar Consulting,Q1 2025,14.5,6.0,3.2,0.0,0.5,1.0,1.15,0.675
Lunar Consulting,Q2 2025,15.0,6.3,3.5,0.0,0.5,1.0,1.1,0.675
Lunar Consulting,Q3 2025,14.5,6.4,3.7,0.0,0.5,1.0,0.8,0.675
Lunar Consulting,Q4 2025,13.5,6.2,3.8,0.0,0.5,1.0,0.5,0.675
Lunar Consulting,Q1 2026,12.5,6.25,3.75,0.0,0.5,1.0,0.45,0.675
Lunar Consulting,Q2 2026,11.25,5.85,3.5,0.5,0.5,1.0,0.16,0.675
Lunar Consulting,Q3 2026,10.0,5.5,3.2,0.0,0.5,1.0,0.12,0.675
Stellar Analytics,Q4 2023,20.0,10.0,5.0,0.0,1.0,1.5,0.6,1.0
Stellar Analytics,Q1 2024,21.0,10.5,5.0,0.0,1.0,1.5,0.7,1.0
Stellar Analytics,Q2 2024,22.0,11.0,5.0,0.0,1.0,1.5,0.8,1.0
Stellar Analytics,Q3 2024,23.0,11.5,5.5,0.0,1.0,1.5,0.9,1.0
Stellar Analytics,Q4 2024,25.0,12.0,6.0,0.0,1.0,1.5,1.0,1.0
Stellar Analytics,Q1 2025,26.0,12.5,6.0,0.0,1.0,1.5,1.1,1.0
Stellar Analytics,Q2 2025,28.0,13.0,6.5,0.0,1.0,1.5,1.3,1.0
Stellar Analytics,Q3 2025,30.0,14.0,7.0,0.0,1.0,1.5,1.5,1.0
Stellar Analytics,Q4 2025,32.0,15.0,7.5,0.0,1.0,1.5,1.6,1.0
Stellar Analytics,Q1 2026,35.0,16.0,8.0,0.0,1.0,1.5,1.8,1.0
Stellar Analytics,Q2 2026,38.0,17.0,8.5,0.0,1.0,1.5,2.0,1.0
Stellar Analytics,Q3 2026,40.0,18.0,9.0,1.0,1.0,1.5,2.1,1.0
